Country,Year,LifeExpectancy,GDPperCapita,Population,SchoolEnrollment,InternetUsers,HealthExpenditure,LiteracyRate,GDPGrowth
St. Kitts and Nevis,2019,71.54,23595.49232312906,46952.0,129.53181272509,69.4,1223.83544922,,2.9382465805635576
"Macao SAR, China",2016,83.27560975609757,69074.03630492122,652500.0,101.287356321839,81.643,,96.5400009155273,-0.6791836178868635
"Bahamas, The",1990,70.945,11473.300838935294,275945.0,107.145416259766,0.0,,,-1.5962490875552078
Malawi,1993,43.648,293.0168830799217,10284024.0,91.8353881835938,,,,9.691840595127816
Guatemala,2015,70.915,3893.505220935085,15971743.0,103.756960177093,28.8059,233.8447876,80.1999969482422,4.092170721411634
Cameroon,2012,58.17,1449.0987436227924,20809529.0,114.354228488521,7.5,56.96441269,,4.625978722095709
Latvia,2007,71.01951219512196,13370.978945250785,2200325.0,104.213363647461,59.17,775.19146729,,10.4145372792714
New Zealand,2020,82.25609756097562,41850.92032801996,5090200.0,97.5365295410156,95.2342,4214.57177734,,-0.3072468960265411
Philippines,1991,64.622,804.3233305305467,64382249.0,105.011001586914,,,,-0.4363900805334282
New Zealand,2018,81.70731707317074,43257.07692388786,4900600.0,98.5529708862305,89.0,3907.59912109,,3.470582038663281
Lebanon,1997,72.94,3834.059078753098,4108405.0,80.5919799804688,1.24,,,1.0549666674066742
Montenegro,1994,73.58778048780489,,611389.0,,,,,
Bhutan,1995,59.277,530.1036769274173,547989.0,62.3229904174805,,,,7.074117457577842
St. Vincent and the Grenadines,2020,69.605,8351.203240409815,103526.0,,63.381,406.3571167,,-4.268924344226491
Dominican Republic,2015,72.982,6800.953093954736,10434829.0,112.013491719354,54.2158,322.04864502,91.9899978637695,6.987711312363871
Hungary,2010,74.20731707317074,13189.843387476838,10000023.0,100.467422485352,65.0,983.11083984,,1.0679506815204576
Finland,2008,79.56829268292684,53769.47262403853,5313399.0,99.7198715209961,83.67,4486.33789063,,0.7844312357170509
Cayman Islands,2004,74.596,,45352.0,99.5556869506836,,,,
Lesotho,1993,58.06,439.3654106814824,1901793.0,97.0648422241211,,,,3.5097661576011063
El Salvador,1990,61.981,892.1827151970303,5399726.0,,0.0,,,4.832900577937863
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",2007,67.65036039938606,2237.2618832055273,540838105.0,,9.7,96.75024010926585,,5.817497598822399
Sint Maarten (Dutch part),2014,75.735,37134.91242309905,36672.0,122.771285475793,,,,1.5803822153911256
Viet Nam,1998,72.283,361.3509284111671,75299660.0,119.422866821289,0.0131,,,5.7644554584884276
Malawi,2020,65.216,602.5074781761056,19533888.0,136.43618677975,13.8995,43.22896194,70.1500015258789,0.7935964297872857
Viet Nam,2016,73.984,2735.060438041602,94000117.0,105.947597481197,53.0,133.1960144,,6.690008926604236
Estonia,1999,70.06341463414634,4140.936602321673,1390244.0,,14.499999999999998,,,-0.4250253720866226
Channel Islands,1993,76.8,,144984.0,,,,,
Portugal,2006,78.41951219512195,19839.45404990321,10522288.0,113.981163024902,38.01,1857.64526367,,1.6250353214199151
Faroe Islands,2015,81.79268292682929,52635.037546360894,48901.0,,94.2,,,0.9580019344862336
Niger,2011,57.6,510.7595617626796,17176283.0,65.2535100604653,0.9,24.84123039,,2.35775693603874
Saudi Arabia,2011,75.808,27126.74987477018,25091867.0,128.024230557425,47.5,954.38873291,,11.75885680520048
Malaysia,2012,75.552,10600.574424002583,29662831.0,98.7042528833624,65.8,371.76046753,,5.473454192538526
Gabon,2011,65.102,10219.11393394536,1781985.0,129.775996342797,18.0,261.37597656,,7.091753342586543
Niger,1995,45.504,237.01998956862047,9714529.0,27.8103904724121,,,,2.457244122315501
Zimbabwe,2006,47.056,430.80921401024233,12636445.0,,2.4,,,-3.461495187813668
Lebanon,2001,74.354,4009.5592975110153,4401918.0,84.4280319213867,6.78322,416.57485962,,3.839669277029728
North America,2014,79.13565535229097,54742.832042680086,354755155.0,99.6610717773438,74.4,8438.119886999038,,2.549447136489462
Ethiopia,2005,54.364,158.24345808246497,78367470.0,74.5096893310547,0.21966,6.4820013,,11.818765946649364
Tuvalu,1998,63.162,1459.649371417185,9451.0,104.646018981934,,,,15.501166126048844
Central Europe and the Baltics,1997,71.51725806968221,3757.407409772123,109422013.0,,,,,2.2353211030734315
Pacific island small states,2016,68.2856508563666,3853.812730153795,2477794.0,107.166816711426,,185.20215485008887,,3.648407726959064
Latin America & Caribbean,1990,67.50660518554868,2501.0047899242877,440958144.0,,,,83.9731674194336,-0.3708120397992616
Cayman Islands,2013,77.652,75113.73323986177,58655.0,98.6759930052461,71.4,,,1.2793310199902097
Ghana,2001,58.403,263.5421564948529,20167069.0,75.4195938110352,0.200008,12.14821911,,4.0000001280791935
IBRD only,2011,71.82703339309043,5338.490088335306,4483152627.0,106.66024017334,28.6,267.34227146394926,87.4475784301758,6.368346740531166
