Property Name,Portfolio Manager ID,Portfolio Manager Meter ID,Meter Name,Meter Type,Meter Consumption ID,Start Date,End Date,Usage/Quantity,Usage Units,Cost ($)
Jack Evelyn Wiggins Park,34999810,190190740,AUTO_Jack Evelyn Wiggins Park-Electric,Electric - Grid,8451543961,2022-04-01 00:00:00,2022-05-01 00:00:00,232.62,kWh (thousand Watt-hours),69.21
Jack Evelyn Wiggins Park,34999810,190190740,AUTO_Jack Evelyn Wiggins Park-Electric,Electric - Grid,8451543962,2022-05-01 00:00:00,2022-06-01 00:00:00,210.58,kWh (thousand Watt-hours),66.66
Jack Evelyn Wiggins Park,34999810,190190740,AUTO_Jack Evelyn Wiggins Park-Electric,Electric - Grid,8451543963,2022-06-01 00:00:00,2022-07-01 00:00:00,184.74,kWh (thousand Watt-hours),62.15
Jack Evelyn Wiggins Park,34999810,190190740,AUTO_Jack Evelyn Wiggins Park-Electric,Electric - Grid,8451543964,2022-07-01 00:00:00,2022-08-01 00:00:00,194.68,kWh (thousand Watt-hours),64.84
Jack Evelyn Wiggins Park,34999810,190190740,AUTO_Jack Evelyn Wiggins Park-Electric,Electric - Grid,8451543965,2022-08-01 00:00:00,2022-09-01 00:00:00,213.2,kWh (thousand Watt-hours),67.25
Jack Evelyn Wiggins Park,34999810,190190740,AUTO_Jack Evelyn Wiggins Park-Electric,Electric - Grid,8451543966,2022-09-01 00:00:00,2022-10-01 00:00:00,225.9,kWh (thousand Watt-hours),67.6
Jack Evelyn Wiggins Park,34999810,190190740,AUTO_Jack Evelyn Wiggins Park-Electric,Electric - Grid,8451543967,2022-10-01 00:00:00,2022-11-01 00:00:00,265.0,kWh (thousand Watt-hours),75.98
Jack Evelyn Wiggins Park,34999810,190190740,AUTO_Jack Evelyn Wiggins Park-Electric,Electric - Grid,8451543968,2022-11-01 00:00:00,2022-12-01 00:00:00,281.12,kWh (thousand Watt-hours),78.68
Jack Goodlad Park,34999811,190190741,AUTO_Jack Goodlad Park-Electric,Electric - Grid,8451520467,2022-01-01 00:00:00,2022-02-01 00:00:00,6118.44,kWh (thousand Watt-hours),883.8
Jack Goodlad Park,34999811,190190741,AUTO_Jack Goodlad Park-Electric,Electric - Grid,8451520468,2022-02-01 00:00:00,2022-03-01 00:00:00,7004.13,kWh (thousand Watt-hours),1037.88
Jack Goodlad Park,34999811,190190741,AUTO_Jack Goodlad Park-Electric,Electric - Grid,8451520469,2022-03-01 00:00:00,2022-04-01 00:00:00,6824.86,kWh (thousand Watt-hours),1049.1
Jack Goodlad Park,34999811,190190741,AUTO_Jack Goodlad Park-Electric,Electric - Grid,8451520470,2022-04-01 00:00:00,2022-05-01 00:00:00,5299.34,kWh (thousand Watt-hours),806.35
Jack Goodlad Park,34999811,190190741,AUTO_Jack Goodlad Park-Electric,Electric - Grid,8451520471,2022-05-01 00:00:00,2022-06-01 00:00:00,5174.59,kWh (thousand Watt-hours),784.5
Jack Goodlad Park,34999811,190190741,AUTO_Jack Goodlad Park-Electric,Electric - Grid,8451520472,2022-06-01 00:00:00,2022-07-01 00:00:00,4969.63,kWh (thousand Watt-hours),757.01
Jack Goodlad Park,34999811,190190741,AUTO_Jack Goodlad Park-Electric,Electric - Grid,8451520473,2022-07-01 00:00:00,2022-08-01 00:00:00,5839.38,kWh (thousand Watt-hours),920.04
Jack Goodlad Park,34999811,190190741,AUTO_Jack Goodlad Park-Electric,Electric - Grid,8451520474,2022-08-01 00:00:00,2022-09-01 00:00:00,5626.89,kWh (thousand Watt-hours),893.48
Jack Goodlad Park,34999811,190190741,AUTO_Jack Goodlad Park-Electric,Electric - Grid,8451520475,2022-09-01 00:00:00,2022-10-01 00:00:00,4242.43,kWh (thousand Watt-hours),639.45
Jack Goodlad Park,34999811,190190741,AUTO_Jack Goodlad Park-Electric,Electric - Grid,8451520476,2022-10-01 00:00:00,2022-11-01 00:00:00,4715.01,kWh (thousand Watt-hours),707.08
Jack Goodlad Park,34999811,190190741,AUTO_Jack Goodlad Park-Electric,Electric - Grid,8451520477,2022-11-01 00:00:00,2022-12-01 00:00:00,4459.32,kWh (thousand Watt-hours),687.18
Jack Goodlad Park,34999811,190190743,AUTO_Jack Goodlad Park-Natural Gas,Natural Gas,8451520479,2022-01-01 00:00:00,2022-02-01 00:00:00,1515.46,cm (cubic meters),656.34
Jack Goodlad Park,34999811,190190743,AUTO_Jack Goodlad Park-Natural Gas,Natural Gas,8451520480,2022-02-01 00:00:00,2022-03-01 00:00:00,1366.86,cm (cubic meters),584.14
