Property Name,Portfolio Manager ID,Portfolio Manager Meter ID,Meter Name,Meter Type,Units,First Day of First Meter Entry,Last Day of Last Meter Entry
Seneca Village Community Centre,34999253,190079168,AUTO_Seneca Village Community Centre-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
Service Chambers,35000810,190079263,AUTO_Service Chambers-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Sewer System Chamber,35000811,190079855,AUTO_Sewer System Chamber-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
Shawn Blu Rose Park,34999994,190079859,AUTO_Shawn Blu Rose Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2014-01-24 00:00:00,2024-11-01 00:00:00
Sheppard West Substation,35000756,190079875,AUTO_Sheppard West Substation-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-31 00:00:00
Sheppard Yonge Substation,35000757,190079883,AUTO_Sheppard Yonge Substation-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-31 00:00:00
Sherbourne Common Park,34999995,190080039,AUTO_Sherbourne Common Park-Natural Gas,Natural Gas,cm (cubic meters),Not Available,Not Available
Sherbourne Common Park,34999995,190080040,AUTO_Sherbourne Common Park-Electric,Electric - Grid,kWh (thousand Watt-hours),Not Available,Not Available
Sherbourne Subway Stn,35000758,190080393,AUTO_Sherbourne Subway Stn-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-31 00:00:00
Sherwood Park,34999996,190080418,AUTO_Sherwood Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Silver Birch Ave Sewage Pumping Station,35000415,190080452,AUTO_Silver Birch Ave Sewage Pumping Station-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-01 00:00:00
Sir Adam Beck C.C.,34999254,190080551,AUTO_Sir Adam Beck C.C.-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Sir Adam Beck C.C.,34999254,190080552,AUTO_Sir Adam Beck C.C.-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Sir Winston Churchill Park,35000000,190080576,AUTO_Sir Winston Churchill Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Sir Winston Churchill Park,35000000,190080577,AUTO_Sir Winston Churchill Park-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Smythe Park,35000004,190080597,AUTO_Smythe Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Smythe Park,35000004,190080598,AUTO_Smythe Park-Natural Gas,Natural Gas,cm (cubic meters),2014-03-10 00:00:00,2024-01-01 00:00:00
Snow Melter Cisa,35000616,190080650,AUTO_Snow Melter Cisa-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-11-01 00:00:00
Snow Melter Cisa,35000616,190080651,AUTO_Snow Melter Cisa-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
Snow Storage Facility,35000617,190080656,AUTO_Snow Storage Facility-Electric,Electric - Grid,kWh (thousand Watt-hours),2015-05-04 00:00:00,2024-10-01 00:00:00
South District Office & Workshop,34999132,190080709,AUTO_South District Office & Workshop-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-09-01 00:00:00
South District Office & Workshop,34999132,190080710,AUTO_South District Office & Workshop-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-09-01 00:00:00
Spadina North Subway Stn,35000759,190080787,AUTO_Spadina North Subway Stn-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-01 00:00:00
Spadina St Clair Reservoir,35000812,190080805,AUTO_Spadina St Clair Reservoir-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Spadina Subway Stn,35000760,190080823,AUTO_Spadina Subway Stn-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-31 00:00:00
St Albans Boys Club,34999470,190080907,AUTO_St Albans Boys Club-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-01 00:00:00
St Albans Boys Club,34999470,190080908,AUTO_St Albans Boys Club-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-10-01 00:00:00
St Andrew's Playground,35000009,190080921,AUTO_St Andrew's Playground-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
St Clair Comm Tower,34999188,190080945,AUTO_St Clair Comm Tower-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
St Clair Subway Stn,35000762,190081407,AUTO_St Clair Subway Stn-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-31 00:00:00
St Clair West Subway Stn,35000763,190081436,AUTO_St Clair West Subway Stn-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-31 00:00:00
St Clements-Yonge Parkette,35000010,190081553,AUTO_St Clements-Yonge Parkette-Electric,Electric - Grid,kWh (thousand Watt-hours),2018-01-19 00:00:00,2024-11-01 00:00:00
St James Park,35000012,190082049,AUTO_St James Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2020-06-30 00:00:00,2024-10-01 00:00:00
St James Town,35000581,190082062,AUTO_St James Town-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
St Lawrence Hall,34999133,190083336,AUTO_St Lawrence Hall-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
St Lawrence Hall,34999133,190083337,AUTO_St Lawrence Hall-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
St Patrick Subway Stn,35000764,190083394,AUTO_St Patrick Subway Stn-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-31 00:00:00
Starry Park,35000019,190083558,AUTO_Starry Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2012-01-25 00:00:00,2024-11-01 00:00:00
Steelcase Rd,35000813,190083594,AUTO_Steelcase Rd-Electric,Electric - Grid,kWh (thousand Watt-hours),2015-04-10 00:00:00,2024-11-01 00:00:00
Steeles Bridge Over Rouge,35000618,190083665,AUTO_Steeles Bridge Over Rouge-Electric,Electric - Grid,kWh (thousand Watt-hours),2016-09-30 00:00:00,2024-11-01 00:00:00
Stormwater Storage Tank,35000814,190083795,AUTO_Stormwater Storage Tank-Electric,Electric - Grid,kWh (thousand Watt-hours),2014-09-16 00:00:00,2024-11-01 00:00:00
Street Lighting East York,35000582,190084387,AUTO_Street Lighting East York-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-31 00:00:00
Street Lighting North York,35000584,190084397,AUTO_Street Lighting North York-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-31 00:00:00
Street Lighting York,35000587,190084421,AUTO_Street Lighting York-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-31 00:00:00
Sumach Substation,35000765,190084438,AUTO_Sumach Substation-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-31 00:00:00
Summerhill Subway Stn,35000766,190084450,AUTO_Summerhill Subway Stn-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-31 00:00:00
Sunshine Center for Seniors,34999256,190084487,AUTO_Sunshine Center for Seniors-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-01 00:00:00
Tam O'shanter Golf Course,35000035,190084555,AUTO_Tam O'shanter Golf Course-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Tam O'shanter Golf Course,35000035,190084556,AUTO_Tam O'shanter Golf Course-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Taylor Memorial Library,35000372,190084562,AUTO_Taylor Memorial Library-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Taylor Memorial Library,35000372,190084563,AUTO_Taylor Memorial Library-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
The Elms Pool and Community School,34999472,190084597,AUTO_The Elms Pool and Community School-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
The Elms Pool and Community School,34999472,190084598,AUTO_The Elms Pool and Community School-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
The Mission Ground,35000037,190084604,AUTO_The Mission Ground-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
The Queensway Employment & Social Services,34999134,190084608,AUTO_The Queensway Employment & Social Services-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-10-01 00:00:00
The Queensway Employment & Social Services,34999134,190084609,AUTO_The Queensway Employment & Social Services-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-01 00:00:00
Thistletown Community Centre,34999258,190084643,AUTO_Thistletown Community Centre-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Thistletown Community Centre,34999258,190084644,AUTO_Thistletown Community Centre-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Thomas Berry Early Learning & Child Care Centre,34999184,190084651,AUTO_Thomas Berry Early Learning & Child Care Centre-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Thomas Berry Early Learning & Child Care Centre,34999184,190084652,AUTO_Thomas Berry Early Learning & Child Care Centre-Natural Gas,Natural Gas,cm (cubic meters),2010-04-12 00:00:00,2024-01-01 00:00:00
Thomas Riley Park,35000038,190084656,AUTO_Thomas Riley Park-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-10-01 00:00:00
Thomas Riley Park,35000038,190084657,AUTO_Thomas Riley Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-01 00:00:00
Thornhill Pumping Station,35000835,190084761,AUTO_Thornhill Pumping Station-Electric,Electric - Grid,kWh (thousand Watt-hours),2015-08-01 00:00:00,2024-09-30 00:00:00
Three Valleys Park,35000040,190084777,AUTO_Three Valleys Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
Todmorden Mills,34999289,190084827,AUTO_Todmorden Mills-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-11-01 00:00:00
Todmorden Mills Pumping Station,35000419,190084828,AUTO_Todmorden Mills Pumping Station-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-01 00:00:00
Toronto Botanical Gardens,34999290,190084862,AUTO_Toronto Botanical Gardens-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Toronto Botanical Gardens,34999290,190084863,AUTO_Toronto Botanical Gardens-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Toronto Island Service Office,34999135,190084890,AUTO_Toronto Island Service Office-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-10-01 00:00:00
Toronto Island Service Office,34999135,190084891,AUTO_Toronto Island Service Office-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-01 00:00:00
Toronto Water Operations Building,34999137,190084966,AUTO_Toronto Water Operations Building-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Toronto Water Operations Building,34999137,190084967,AUTO_Toronto Water Operations Building-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Toronto-York Spadina Subway,35000767,190084978,AUTO_Toronto-York Spadina Subway-Natural Gas,Natural Gas,cm (cubic meters),2011-05-24 00:00:00,2024-11-01 00:00:00
Toronto-York Spadina Subway,35000767,190084979,AUTO_Toronto-York Spadina Subway-Electric,Electric - Grid,kWh (thousand Watt-hours),2016-12-02 00:00:00,2024-10-31 00:00:00
Toryork Office,34999392,190084997,AUTO_Toryork Office-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Toryork Office,34999392,190084999,AUTO_Toryork Office-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Town Centre Substation,35000768,190085029,AUTO_Town Centre Substation-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-31 00:00:00
Townsley Substation,35000769,190085043,AUTO_Townsley Substation-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-31 00:00:00
TPS Multi-Function Station #1,34999144,190085049,AUTO_TPS Multi-Function Station #1-Electric,Electric - Grid,kWh (thousand Watt-hours),2017-09-08 00:00:00,2024-11-01 00:00:00
TPS Multi-Function Station #1,34999144,190085050,AUTO_TPS Multi-Function Station #1-Natural Gas,Natural Gas,cm (cubic meters),2017-09-07 00:00:00,2024-11-01 00:00:00
Kennedy Pumping Station,35000827,190109319,AUTO_Kennedy Pumping Station-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-31 00:00:00
Kennedy Substation,35000706,190109330,AUTO_Kennedy Substation-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-31 00:00:00
Kew Gardens Park,34999831,190109358,AUTO_Kew Gardens Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Kew Gardens Park,34999831,190109359,AUTO_Kew Gardens Park-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
King Subway Stn,35000707,190109387,AUTO_King Subway Stn-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-08-01 00:00:00
King-Liberty Bridge,35000615,190109425,AUTO_King-Liberty Bridge-Electric,Electric - Grid,kWh (thousand Watt-hours),2020-07-20 00:00:00,2024-10-31 00:00:00
Kingston Rd Early Learning & Child Care Centre,34999180,190109440,AUTO_Kingston Rd Early Learning & Child Care Centre-Natural Gas,Natural Gas,cm (cubic meters),2016-05-17 00:00:00,2024-10-01 00:00:00
Kingston Rd Early Learning & Child Care Centre,34999180,190109441,AUTO_Kingston Rd Early Learning & Child Care Centre-Electric,Electric - Grid,kWh (thousand Watt-hours),2016-07-11 00:00:00,2024-10-01 00:00:00
Kipling & Dixon (NW),35000708,190109456,AUTO_Kipling & Dixon (NW)-Electric,Electric - Grid,kWh (thousand Watt-hours),2020-02-11 00:00:00,2024-11-01 00:00:00
Kipling & Dixon (SW),35000709,190109469,AUTO_Kipling & Dixon (SW)-Electric,Electric - Grid,kWh (thousand Watt-hours),2020-02-10 00:00:00,2024-11-01 00:00:00
Kipling Acres,34999528,190109476,AUTO_Kipling Acres-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Kipling Acres,34999528,190109477,AUTO_Kipling Acres-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Kipling Substation,35000710,190109482,AUTO_Kipling Substation-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-31 00:00:00
Kipling Yard - PF&R,35000509,190109484,AUTO_Kipling Yard - PF&R-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Kipling Yard - PF&R,35000509,190109485,AUTO_Kipling Yard - PF&R-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Lake Front Boathouse,34999843,190109573,AUTO_Lake Front Boathouse-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-01 00:00:00
L'Amoreaux Park Yard,34999412,190109659,AUTO_L'Amoreaux Park Yard-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
L'Amoreaux Park Yard,34999412,190109660,AUTO_L'Amoreaux Park Yard-Natural Gas,Natural Gas,cm (cubic meters),2016-08-01 00:00:00,2016-08-31 00:00:00
L'Amoreaux Tennis Centre,34999413,190109667,AUTO_L'Amoreaux Tennis Centre-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
L'Amoreaux Tennis Centre,34999413,190109668,AUTO_L'Amoreaux Tennis Centre-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Langford Parkette,34999845,190109679,AUTO_Langford Parkette-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
Lansdowne Subway Stn,35000714,190109805,AUTO_Lansdowne Subway Stn-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-31 00:00:00
Larry Sefton Park,34999847,190109828,AUTO_Larry Sefton Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
Lawren Harris Park,34999848,190109839,AUTO_Lawren Harris Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
Lawren Harris Square,34999849,190109851,AUTO_Lawren Harris Square    -Electric,Electric - Grid,kWh (thousand Watt-hours),2014-08-01 00:00:00,2024-11-01 00:00:00
Lawrence Substation,35000716,190109924,AUTO_Lawrence Substation-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-01 00:00:00
Lawrence Subway Stn,35000717,190109941,AUTO_Lawrence Subway Stn-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-31 00:00:00
Leaside Gardens,34999439,190109946,AUTO_Leaside Gardens-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2020-08-23 00:00:00
Ledbury Park,34999414,190109965,AUTO_Ledbury Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Ledbury Park,34999414,190109966,AUTO_Ledbury Park-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Leslie  Substation,35000718,190109981,AUTO_Leslie  Substation-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-31 00:00:00
Leslie Yard,35000512,190109992,AUTO_Leslie Yard-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Leslie Yard,35000512,190109993,AUTO_Leslie Yard-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Lillian Park,34999856,190110023,AUTO_Lillian Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-01 00:00:00
Lippincott Substation,35000719,190110025,AUTO_Lippincott Substation-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-31 00:00:00
Little Norway Park,34999859,190110078,AUTO_Little Norway Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
Livingston Rd Sewage Pumping Station,35000400,190110083,AUTO_Livingston Rd Sewage Pumping Station-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Locke Library,35000338,190110088,AUTO_Locke Library-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Locke Library,35000338,190110089,AUTO_Locke Library-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Logan Ave Parkette,34999861,190110098,AUTO_Logan Ave Parkette-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
Long Branch Arena,34999440,190110118,AUTO_Long Branch Arena-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Long Branch Arena,34999440,190110119,AUTO_Long Branch Arena-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Long Branch Library,35000339,190110181,AUTO_Long Branch Library-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Long Branch Library,35000339,190110182,AUTO_Long Branch Library-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Long Branch Park,34999862,190110184,AUTO_Long Branch Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2019-02-12 00:00:00,2024-10-01 00:00:00
Lora Hill Park,34999863,190110207,AUTO_Lora Hill Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
TPS Station #10,34999145,190110210,AUTO_TPS Station #10-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
TPS Station #10,34999145,190110211,AUTO_TPS Station #10-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2018-07-31 00:00:00
Love Crescent Parkette,34999864,190110220,AUTO_Love Crescent Parkette-Electric,Electric - Grid,kWh (thousand Watt-hours),2018-11-23 00:00:00,2024-11-01 00:00:00
Lower Riverwood Landfill,35000804,190110221,AUTO_Lower Riverwood Landfill-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
TPS Station #11,34999146,190110224,AUTO_TPS Station #11-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
TPS Station #11,34999146,190110225,AUTO_TPS Station #11-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Lower Simcoe Storm Pumping Station,35000402,190110230,AUTO_Lower Simcoe Storm Pumping Station-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-31 00:00:00
Lytton Park,34999865,190110237,AUTO_Lytton Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-01 00:00:00
MacGregor Playground,34999867,190110248,AUTO_MacGregor Playground-Natural Gas,Natural Gas,cm (cubic meters),2019-01-24 00:00:00,2024-11-01 00:00:00
MacGregor Playground,34999867,190110249,AUTO_MacGregor Playground-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
TPS Station #13,34999148,190110262,AUTO_TPS Station #13-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
TPS Station #13,34999148,190110263,AUTO_TPS Station #13-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Main Street Subway Stn,35000721,190110273,AUTO_Main Street Subway Stn-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-31 00:00:00
TPS Station #24,34999153,190110298,AUTO_TPS Station #24-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
TPS Station #24,34999153,190110299,AUTO_TPS Station #24-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Malta Park,34999868,190110309,AUTO_Malta Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
TPS Station #33,34999158,190110356,AUTO_TPS Station #33-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
TPS Station #33,34999158,190110357,AUTO_TPS Station #33-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
TPS Station #38,34999161,190110376,AUTO_TPS Station #38-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
TPS Station #38,34999161,190110377,AUTO_TPS Station #38-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Manchester Park,34999869,190110384,AUTO_Manchester Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
Maple Leaf Cottage,34999232,190110393,AUTO_Maple Leaf Cottage-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-10-01 00:00:00
Maple Leaf Cottage,34999232,190110394,AUTO_Maple Leaf Cottage-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-01 00:00:00
TPS Station #41,34999164,190110396,AUTO_TPS Station #41-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
TPS Station #41,34999164,190110397,AUTO_TPS Station #41-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
TPS Station #42/District 4 Office,34999165,190110460,AUTO_TPS Station #42/District 4 Office-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
TPS Station #42/District 4 Office,34999165,190110461,AUTO_TPS Station #42/District 4 Office-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Margaret Fairley Park,34999871,190110477,AUTO_Margaret Fairley Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2017-05-10 00:00:00,2024-11-01 00:00:00
Maria A Shchuka Library,35000341,190110486,AUTO_Maria A Shchuka Library-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Maria A Shchuka Library,35000341,190110487,AUTO_Maria A Shchuka Library-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
TPS Station #44,34999166,190110488,AUTO_TPS Station #44-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
TPS Station #44,34999166,190110490,AUTO_TPS Station #44-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
TPS Station #46,34999168,190110502,AUTO_TPS Station #46-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
TPS Station #46,34999168,190110503,AUTO_TPS Station #46-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
TPS Station #47,34999169,190110506,AUTO_TPS Station #47-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
TPS Station #47,34999169,190110507,AUTO_TPS Station #47-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
TPS Station #54,34999170,190110540,AUTO_TPS Station #54-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
