Property Name,Portfolio Manager ID,Portfolio Manager Meter ID,Meter Name,Meter Type,Units,First Day of First Meter Entry,Last Day of Last Meter Entry
Burrows Hall Community Centre,34999196,190079298,AUTO_Burrows Hall Community Centre-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Carmine Stefano Community Centre,34999197,190079610,AUTO_Carmine Stefano Community Centre-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-31 00:00:00
Carmine Stefano Community Centre,34999197,190079611,AUTO_Carmine Stefano Community Centre-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-11-01 00:00:00
Carpark 130,35000125,190079751,AUTO_Carpark 130-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
Carpark 133,35000127,190079762,AUTO_Carpark 133-Electric,Electric - Grid,kWh (thousand Watt-hours),2016-11-25 00:00:00,2024-10-01 00:00:00
Edgehill Centre,34999209,190079765,AUTO_Edgehill Centre-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Edgehill Centre,34999209,190079766,AUTO_Edgehill Centre-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Carpark 141,35000129,190079768,AUTO_Carpark 141-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-01 00:00:00
Edgehill House,34999210,190079770,AUTO_Edgehill House-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Edgehill House,34999210,190079771,AUTO_Edgehill House-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Carpark 143,35000131,190079792,AUTO_Carpark 143-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
Carpark 144,35000132,190079801,AUTO_Carpark 144-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
Carpark 157,35000139,190079881,AUTO_Carpark 157-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-01 00:00:00
Carpark 17,35000144,190079890,AUTO_Carpark 17-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
Carpark 204,35000157,190079997,AUTO_Carpark 204-Electric,Electric - Grid,kWh (thousand Watt-hours),2014-08-01 00:00:00,2024-11-01 00:00:00
Carpark 204,35000157,190079998,AUTO_Carpark 204-Natural Gas,Natural Gas,cm (cubic meters),2016-12-03 00:00:00,2024-11-01 00:00:00
Carpark 212,35000159,190080016,AUTO_Carpark 212-Electric,Electric - Grid,kWh (thousand Watt-hours),2016-11-23 00:00:00,2024-11-01 00:00:00
Edithvale Community Centre,34999211,190080020,AUTO_Edithvale Community Centre-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Edithvale Community Centre,34999211,190080022,AUTO_Edithvale Community Centre-Natural Gas,Natural Gas,cm (cubic meters),2010-02-14 00:00:00,2024-01-01 00:00:00
Eglington Subway Stn,35000677,190080058,AUTO_Eglington Subway Stn-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-01 00:00:00
Eglinton Flats Sport Pavilions,34999720,190080084,AUTO_Eglinton Flats Sport Pavilions-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Eglinton Flats Sport Pavilions,34999720,190080085,AUTO_Eglinton Flats Sport Pavilions-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Carpark 238,35000173,190080648,AUTO_Carpark 238-Electric,Electric - Grid,kWh (thousand Watt-hours),Not Available,Not Available
